,Associated System,Cortical CI,Cortical Target,Target PC,Target WMD,Voxel
31299,Default,8,193,0.66693752999934619,0.68442950929399571,4004
31300,Default,5,200,0.64664126913810349,-1.4465103323449768,4004
31301,Default,2,203,0.39082575300842493,-0.65528267951482644,4004
31302,Default,1,212,0.52990972783865853,1.3979776194123552,4004
31303,Default,0,217,0.6888023373647415,1.0362621183274723,4004
31304,Default,4,304,0.57158352561112002,0.092048914807689036,4004
31305,Default,3,328,0.49341657869114314,0.44762607906903756,4004
31306,Default,3,340,0.1176274352514509,0.60546193671196724,4004
31307,Default,4,396,0.61190185666607433,-0.43053697229685628,4004
31308,Default,2,42,0.056391793237723156,0.45056115913062272,4005
31309,Default,0,136,0.35062358010367811,0.66508309651542707,4005
31310,Default,3,139,0.082723322179123163,0.57134584965663149,4005
31311,Default,4,153,0.63133136477441243,0.82541585708843679,4005
31312,Default,5,200,0.64664126913810349,-1.4465103323449768,4005
31313,Default,1,212,0.52990972783865853,1.3979776194123552,4005
31314,Default,6,265,0.53842160211233414,-0.84743208875185261,4005
31315,Default,2,282,0.40646211799346021,-0.5222816459026649,4005
31316,Default,4,304,0.57158352561112002,0.092048914807689036,4005
31317,Default,4,396,0.61190185666607433,-0.43053697229685628,4005
31318,Cingulo-opercular,2,42,0.056391793237723156,0.45056115913062272,4006
31319,Cingulo-opercular,1,76,0.32894835056248412,-0.11952890727690976,4006
